"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市南港區興華路１４６號四樓之２","111/04/14",470,13.1,35.9,"住宅大樓(11層含以上有電梯)",13,"四層/十二層","房地(土地+建物)+車位","1房1廳1衛",0,"住家用",121.605221,25.057533
"臺北市南港區興中路８０巷２號二樓","111/04/13",1810,69.4,26.06,"公寓(5樓含以下無電梯)",47,"二層,陽台/四層","房地(土地+建物)","5房0廳5衛",0,"住家用",121.6065768,25.0573746
"臺北市南港區重陽路５５７號四樓","111/04/12",2488,83.1,33.72,"華廈(10層含以下有電梯)",14,"四層/七層","房地(土地+建物)+車位","2房2廳1衛",250,"住家用",121.614277,25.0632451
"臺北市南港區同德路５０巷９號","111/04/11",2000,68.2,29.34,"公寓(5樓含以下無電梯)",45,"一層/四層","房地(土地+建物)","3房1廳1衛",0,"住家用",121.5849485,25.0451726
"臺北市南港區經貿二路２３５巷３８號九樓","111/04/10",3170,95.7,34.82,"華廈(10層含以下有電梯)",8,"九層/十層","房地(土地+建物)+車位","2房2廳1衛",200,"住家用",121.6151197,25.0614945
"臺北市南港區研究院路二段１８２巷１０７弄３５號","111/04/10",1950,0,31.27,"透天厝",41,"全/二層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.612258,25.036476
"臺北市南港區重陽路５０１之２號","111/04/10",3980,60.3,66.01,"華廈(10層含以下有電梯)",16,"一層,二層,屋頂突出物/九層","房地(土地+建物)+車位","5房2廳3衛",0,"住家用",121.6125797,25.0617191
"臺北市南港區向陽路２５８巷４３號六樓","111/04/10",4600,70.3,65.42,"華廈(10層含以下有電梯)",14,"六層/八層","房地(土地+建物)+車位","4房2廳2衛",0,"住家用",121.5948756,25.0584482
"臺北市南港區福德街４５７號十四樓","111/04/10",2408,62,38.86,"住宅大樓(11層含以上有電梯)",24,"十四層/十四層","房地(土地+建物)","2房2廳1衛",0,"住家用",121.5932903,25.0395752
"臺北市南港區成福路７３號五樓","111/04/10",1700,66.3,25.65,"公寓(5樓含以下無電梯)",39,"五層/五層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.5868422,25.0434093
"臺北市南港區忠孝東路六段１４８號六樓","111/04/09",2888,74.9,38.56,"華廈(10層含以下有電梯)",30,"六層/九層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.5857488,25.0481627
"臺北市南港區研究院路二段６１巷１５號十八樓之１","111/04/09",4458,68.6,76.28,"住宅大樓(11層含以上有電梯)",8,"十八層/十八層","房地(土地+建物)+車位","4房2廳2衛",300,"住家用",121.6171764,25.0446838
"臺北市南港區興南街６４巷２６弄１６號二樓","111/04/09",1738,68.9,25.22,"公寓(5樓含以下無電梯)",44,"二層/四層","房地(土地+建物)","3房2廳1衛",0,"住家用",121.601691,25.05495
"臺北市南港區東新街１６８巷１８號九樓","111/04/09",2450,90.8,26.97,"住宅大樓(11層含以上有電梯)",10,"九層/十一層","房地(土地+建物)","3房2廳2衛",0,"住家用",121.589821,25.046011
