"地段位置或門牌","交易年月","總價","單價","總面積","型態","屋齡","樓別.樓高","交易標的","建物現況格局","車位總價","主要用途","lon","lat"
"臺北市松山區南京東路五段４０號十八樓之２","111/04/28",1770,83,21.32,"住宅大樓(11層含以上有電梯)",32,"十八層/十九層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5593594,25.0513586
"臺北市松山區市民大道五段１１９號四樓","111/04/28",1580,62.7,25.21,"公寓(5樓含以下無電梯)",45,"四層,陽台/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5633361,25.0478056
"臺北市松山區健康路３２５巷５弄１號八樓","111/04/27",5768,84.1,68.57,"住宅大樓(11層含以上有電梯)",22,"八層/十二層","房地(土地+建物)+車位","4房2廳2衛","300","住家用",121.5670744,25.0548196
"臺北市松山區三民路１０１巷２０號四樓","111/04/27",2550,72.4,35.22,"公寓(5樓含以下無電梯)",50,"四層/四層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5625003,25.0574215
"臺北市松山區八德路三段９９巷４弄１２號四樓","111/04/27",2156,80.8,26.69,"公寓(5樓含以下無電梯)",54,"四層/四層","房地(土地+建物)","2房2廳2衛","0","住家用",121.5531762,25.0488217
"臺北市松山區富錦街３４９號四樓","111/04/26",1100,39.1,28.16,"公寓(5樓含以下無電梯)",50,"四層/四層","房地(土地+建物)","2房2廳1衛","0","住家用",121.5576087,25.0606568
"臺北市松山區復興南路一段２７號十二樓之２","111/04/26",11500,76.3,150.63,"住宅大樓(11層含以上有電梯)",40,"十二層/十二層","房地(土地+建物)","8房2廳2衛","0","住家用",121.5441897,25.0465878
"臺北市松山區民生東路五段１９８號二十樓","111/04/25",3600,78.9,45.64,"住宅大樓(11層含以上有電梯)",33,"二十層/二十層","房地(土地+建物)+車位","2房2廳2衛","400","住家用",121.5644276,25.0586278
"臺北市松山區寶清街１０３之１０號九樓","111/04/25",2822,69.8,40.4,"住宅大樓(11層含以上有電梯)",4,"九層/十三層","房地(土地+建物)+車位","2房2廳2衛","0","住家用",121.5678665,25.0533268
"臺北市松山區三民路７４巷８號六樓之１","111/04/24",2674,74.8,35.76,"華廈(10層含以下有電梯)",30,"六層/七層","房地(土地+建物)","3房2廳2衛","0","住家用",121.5652967,25.0557424
"臺北市松山區撫遠街３８３巷２號三樓","111/04/24",1920,63,30.47,"公寓(5樓含以下無電梯)",48,"三層/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5659822,25.0645811
"臺北市松山區民權東路三段１６０巷９號七樓","111/04/24",3958,86.4,45.79,"華廈(10層含以下有電梯)",42,"七層/七層","房地(土地+建物)","6房0廳6衛","0","住家用",121.5478694,25.0607534
"臺北市松山區光復南路４６巷３６號十一樓之３","111/04/24",5928,114,51.98,"住宅大樓(11層含以上有電梯)",1,"十一層/二十二層","房地(土地+建物)+車位","3房2廳2衛","0","住家用",121.5547899,25.0457835
"臺北市松山區新東街５０號三樓","111/04/24",1584,53.4,29.66,"公寓(5樓含以下無電梯)",48,"三層/四層","房地(土地+建物)","3房2廳1衛","0","住家用",121.5653092,25.0615218
"臺北市松山區延壽街６６之１號五樓","111/04/24",4080,59.7,68.35,"華廈(10層含以下有電梯)",24,"五層,六層/六層","房地(土地+建物)+車位","4房2廳2衛","250","住家用",121.5659243,25.0569079
