amount,price,area,age,car,add,date,type,floor.height,subject,pattern,k
500,52.8,9.46,42,0,臺北市中山區新生北路二段１３３巷１８號六樓之７,111/07/06,華廈(10層含以下有電梯),六層/六層,房地(土地+建物),1房1廳1衛,4
1400,51.2,27.34,43,0,臺北市中山區合江街１２７巷２９號三樓,111/07/05,公寓(5樓含以下無電梯),三層/五層,房地(土地+建物),2房2廳2衛,4
650,63.6,10.21,50,0,臺北市中山區新生北路二段７４號九樓之２,111/07/05,住宅大樓(11層含以上有電梯),九層/十二層,房地(土地+建物),1房1廳1衛,4
400,47.5,8.42,40,0,臺北市中山區林森北路１０７巷３０號五樓之７,111/07/04,華廈(10層含以下有電梯),五層/八層,房地(土地+建物),0房1廳1衛,4
620,63.1,9.83,44,0,臺北市中山區新生北路一段１０８之３號十二樓之２,111/07/04,住宅大樓(11層含以上有電梯),十二層/十二層,房地(土地+建物),1房1廳1衛,4
1175,44.1,26.66,38,0,臺北市中山區林森北路４１３號八樓之８,111/07/03,住宅大樓(11層含以上有電梯),八層/十三層,房地(土地+建物),2房1廳2衛,4
1930,58.2,33.18,41,0,臺北市中山區民族東路５１２巷１３弄３９號二樓,111/07/03,公寓(5樓含以下無電梯),二層/五層,房地(土地+建物),3房2廳2衛,4
1500,56.2,26.67,56,0,臺北市中山區林森北路１３３巷３４號二樓,111/07/03,公寓(5樓含以下無電梯),二層/三層,房地(土地+建物),5房0廳5衛,4
1310,55.5,23.6,40,0,臺北市中山區龍江路４１２巷４號三樓,111/07/02,公寓(5樓含以下無電梯),三層/五層,房地(土地+建物),3房2廳1衛,4
70,2.2,31.12,48,0,臺北市中山區民生東路二段１１５巷３１號四樓,111/07/01,公寓(5樓含以下無電梯),四層/五層,建物,3房2廳1衛,4
1600,40.9,39.13,45,0,臺北市中山區新生北路二段２３號六樓,111/07/01,華廈(10層含以下有電梯),六層/七層,房地(土地+建物),2房1廳2衛,4
680,59.4,11.45,38,0,臺北市中山區錦州街５０號九樓之５,111/06/30,住宅大樓(11層含以上有電梯),九層/十三層,房地(土地+建物),1房1廳1衛,4
800,60.2,13.29,55,0,臺北市中山區錦州街１２６號,111/06/30,公寓(5樓含以下無電梯),"一層,騎樓/四層",房地(土地+建物),未知,4
1645,55.6,29.58,51,0,臺北市中山區林森北路８５巷８８號六樓之１,111/06/30,華廈(10層含以下有電梯),六層/六層,房地(土地+建物),3房3廳3衛,4
500,50.6,9.88,39,0,臺北市中山區安東街１６巷３０號二樓,111/06/30,華廈(10層含以下有電梯),二層/七層,房地(土地+建物),3房2廳2衛,4
1100,40.1,27.46,55,0,臺北市中山區民權東路一段７０巷２２號二樓,111/06/29,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),3房1廳1衛,4
1136,57,19.94,47,0,臺北市中山區雙城街４３巷１號五樓之１３,111/06/27,華廈(10層含以下有電梯),四層/四層,房地(土地+建物),1房1廳1衛,4
457,55,8.31,46,0,臺北市中山區新生北路二段４３號七樓之５,111/06/26,華廈(10層含以下有電梯),七層/七層,房地(土地+建物),1房1廳1衛,4
553,45,12.3,46,0,臺北市中山區林森北路４１６巷１號十一樓之１,111/06/24,住宅大樓(11層含以上有電梯),十一層/十一層,房地(土地+建物),1房0廳1衛,4
1300,36.6,35.5,46,0,臺北市中山區北安路８２１巷３弄２號三樓,111/06/22,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳2衛,4
505,57.2,8.82,43,0,臺北市中山區德惠街４５號九樓,111/06/22,華廈(10層含以下有電梯),九層/九層,房地(土地+建物),1房1廳1衛,4
70,2.2,31.12,48,0,臺北市中山區民生東路二段１１５巷３１號二樓,111/06/21,公寓(5樓含以下無電梯),二層/五層,建物,3房2廳1衛,4
45,37.9,1.19,47,0,臺北市中山區中山北路二段１１５巷２７號四樓,111/06/20,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),3房2廳1衛,4
966,56.1,17.22,50,0,臺北市中山區林森北路８５巷８８號三樓,111/06/13,華廈(10層含以下有電梯),三層/六層,房地(土地+建物),2房2廳2衛,4
600,47.4,12.67,45,0,臺北市中山區中山北路二段２７巷１７號七樓之２,111/06/13,華廈(10層含以下有電梯),七層/八層,房地(土地+建物),1房0廳1衛,4
1380,55,25.1,56,0,臺北市中山區天祥路６１巷１６號三樓,111/06/11,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),2房2廳1衛,4
1585,51,31.05,48,0,臺北市中山區新生北路三段９３巷４２號二樓,111/06/11,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),3房2廳2衛,4
1535,49.4,31.05,48,0,臺北市中山區新生北路三段９３巷４２號三樓,111/06/11,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),3房2廳2衛,4
1485,47.8,31.05,48,0,臺北市中山區新生北路三段９３巷４２號四樓,111/06/11,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),3房2廳2衛,4
1220,21.3,57.24,36,0,臺北市中山區民權東路三段８８號四樓,111/06/10,住宅大樓(11層含以上有電梯),四層/十九層,房地(土地+建物),4房2廳2衛,4
550,61.8,8.9,48,0,臺北市中山區中山北路一段８３巷９號五樓之１０,111/06/10,住宅大樓(11層含以上有電梯),五層/七層,房地(土地+建物),未知,4
743,53.3,13.95,42,0,臺北市中山區民生東路二段８３號七樓之１２,111/06/08,華廈(10層含以下有電梯),七層/七層,房地(土地+建物),1房1廳1衛,4
960,61.3,15.65,44,0,臺北市中山區新生北路三段４３號七樓之２,111/06/06,住宅大樓(11層含以上有電梯),七層/十一層,房地(土地+建物),1房1廳1衛,4
1380,53.7,25.69,51,0,臺北市中山區林森北路１１９巷６０號三樓,111/06/04,公寓(5樓含以下無電梯),三層/四層,房地(土地+建物),4房0廳4衛,4
1528,59.5,25.69,51,0,臺北市中山區林森北路１１９巷６０號四樓,111/06/04,公寓(5樓含以下無電梯),四層/四層,房地(土地+建物),4房0廳4衛,4
1927,56.6,34.07,43,0,臺北市中山區龍江路３７０巷５號四樓,111/06/01,公寓(5樓含以下無電梯),四層/五層,房地(土地+建物),3房2廳2衛,4
1030,56.7,18.18,48,0,臺北市中山區德惠街１８７號二樓,111/05/31,公寓(5樓含以下無電梯),二層/四層,房地(土地+建物),4房2廳1衛,4
